Ethel Cain,1603.14
Racing Mount Pleasant,685.52
Lana Del Rey,457.33
FKA twigs,329.55
Arca,243.23
Magdalena Bay,179.74
Florence + the Machine,149.01
Oklou,94.73
Beyoncé,93.21
Doja Cat,91.96
Björk,89.26
Britney Spears,86.20
Charli xcx,84.11
Nils Frahm,74.66
Adele,72.92
蔡依林,66.55
Hana,66.49
F.S.Blumm & Nils Frahm,59.56
F.S.Blumm,59.56
cupcakKe,57.95
ROSALÍA,57.25
Slayyyter,44.53
Halsey,40.45
RAYE,39.34
Massive Attack,38.50
NewDad,35.72
Taylor Swift,35.38
Weyes Blood,33.83
Tame Impala,33.43
BANKS,30.57
Grimes,27.63
Cristobal Tapia De Veer,26.62
Jiafei,24.60
Chappell Roan,24.37
Oklou & underscores,23.30
underscores,23.30
Viagra Boys,21.33
"Charli xcx, Addison Rae & A. G. Cook",20.93
"Charli xcx, Addison Rae",20.93
A. G. Cook,20.93
PinkPantheress,20.71
Vyva Melinkolya,20.40
Mitski,19.95
Addison Rae,19.72
Ariana Grande,19.43
Alvaro Soler,19.15
May Jailer,18.50
Christina Aguilera,16.92
JENNIE,16.88
Lady Gaga,16.80
"Tyler, The Creator",15.34
Miley Cyrus,15.27
Ólafur Arnalds & Nils Frahm,15.10
Ólafur Arnalds,15.10
BLACKPINK,13.67
Koreless,12.74
B.o.B,12.07
Ludovico Einaudi,11.00
Jane Remover,10.67
HANA,10.13
ROSALÍA & Rauw Alejandro,9.70
Rauw Alejandro,9.70
Herman's Hermits,9.20
Quadeca,8.10
Atomic Kitten,7.93
Jamie xx,7.87
Beyoncé,7.83
LISA,7.70
beabadoobee,7.67
Men I Trust,7.67
Justin Timberlake,7.63
Reneé Rapp,7.50
femtanyl,7.46
Lana Del Rey & Cedric Gervais,7.35
Cedric Gervais,7.35
Pomme,6.87
Azealia Banks,6.80
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",6.47
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI",6.47
KPop Demon Hunters Cast,6.47
Metallica,6.47
FKA twigs & Koreless,6.37
ROSALÍA & The Weeknd,6.27
The Weeknd,6.27
Caroline Polachek,6.08
Geordie Greep,6.05
Ichiko Aoba,5.59
Searows,5.58
Cigarettes After Sex,5.32
Shygirl,5.22
Charli xcx & Tinashe,5.10
Tinashe,5.10
Lana Del Rey & Father John Misty,5.02
Father John Misty,5.02
cult friends,4.90
Li Jian,4.90
Carpenters,4.55
Lana Del Rey & Barrie O'Neill,4.50
Barrie O'Neill,4.50
Lana Del Rey & Clams Casino,4.50
Clams Casino,4.50
Mohini Geisweiller,4.27
AURORA,4.12
Marina And The Diamonds,4.12
Jiafei & cupcakKe,3.85
Saint Etienne,3.83
Yeat & FKA twigs,3.80
Yeat,3.80
Clairo,3.75
Pond,3.73
Sabrina Carpenter,3.72
Japanese Breakfast,3.67
SZA,3.65
Pomme & Ichiko Aoba,3.62
Lana Del Rey & Adam Cohen,3.62
Adam Cohen,3.62
Sufjan Stevens,3.58
Lady Gaga & Bradley Cooper,3.58
Bradley Cooper,3.58
Magdalena Bay & Grimes,3.58
Danny Brown,3.52
Lana Del Ray,3.43
Flying Lotus,3.42
Charli xcx & Caroline Polachek,3.38
Katy Perry & 3OH!3,3.38
Katy Perry,3.38
3OH!3,3.38
Ariana Grande & Kid Cudi,3.35
Kid Cudi,3.35
*NSYNC,3.33
王菲,3.27
Jane Remover & Lucy Bedroque,3.20
Lucy Bedroque,3.20
Zara Larsson,3.15
Humbert Humbert,3.10
Dua Lipa,3.08
Etta James,3.02
Stephen Sanchez,2.95
Charli xcx & Troye Sivan,2.88
Troye Sivan,2.88
Nina Simone,2.78
Charli xcx & Bladee,2.70
Bladee,2.70
Arca & Safety Trance,2.40
Safety Trance,2.40
"cassö, RAYE & D-Block Europe",2.20
"cassö, RAYE",2.20
D-Block Europe,2.20
MXZI,1.40
::: unbenannt,0.00
