Ethel Cain,338.46
Arca,142.85
Nils Frahm,74.66
F.S.Blumm & Nils Frahm,59.56
F.S.Blumm,59.56
Oklou,45.24
Beyoncé,43.94
Lana Del Rey,42.17
FKA twigs,40.57
Halsey,40.45
Slayyyter,36.18
RAYE,36.05
NewDad,35.72
Magdalena Bay,31.00
Björk,27.20
cupcakKe,26.09
PinkPantheress,17.91
Mitski,17.82
Florence + the Machine,17.14
Ólafur Arnalds & Nils Frahm,15.10
Ólafur Arnalds,15.10
May Jailer,13.12
Charli xcx,12.88
Britney Spears,12.19
B.o.B,12.07
ROSALÍA,8.11
LISA,7.70
Alvaro Soler,6.88
Azealia Banks,6.80
Adele,6.72
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",6.47
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI",6.47
KPop Demon Hunters Cast,6.47
BLACKPINK,5.47
Cristobal Tapia De Veer,4.90
Christina Aguilera,4.38
Marina And The Diamonds,4.12
Saint Etienne,3.83
Magdalena Bay & Grimes,3.58
Grimes,3.58
Lana Del Ray,3.43
"Tyler, The Creator",3.33
ROSALÍA & The Weeknd,3.13
The Weeknd,3.13
Etta James,3.02
Charli xcx & Troye Sivan,2.88
Troye Sivan,2.88
"cassö, RAYE & D-Block Europe",2.20
"cassö, RAYE",2.20
D-Block Europe,2.20
Koreless,1.70
Jiafei,0.55
