Track ID,Play Count,Total Played Minutes,Artist - Title
F2C2753301DF4BB1,13,198.25,"Ethel Cain - Waco, Texas"
4141A380D6E46458,42,147.0,FKA twigs - Cheap Hotel
972F6CC66CBB76E8,11,52.8,Magdalena Bay - Second Sleep
44969FF10EEAB973,8,51.47,Ethel Cain - Dust Bowl
BB1BEDBEFACC96F5,7,38.5,Massive Attack - Teardrop
A0A2BA0AF096110D,7,30.57,BANKS - Teardrop
BBB758A1BC9D0BFA,3,30.0,Ethel Cain - Tempest
DFF78F4414EA653B,8,27.33,Tame Impala - Dracula
496CAE21C0FD5E88,7,24.97,Magdalena Bay - Star Eyes
3FD5427A420212BF,3,24.15,Ethel Cain - Nettles
74BB319BA64700DB,6,20.1,Doja Cat - Stranger
FD329C8C057CD8E6,4,20.0,Ethel Cain - Janie
C825682EA4C03393,3,19.6,Florence + the Machine - One of the Greats
3FF320B8EC2E4EFE,5,19.42,Oklou & underscores - harvest sky
2AF2BB98F1A7886D,4,19.07,Björk - All Is Full of Love
8AA610DE41A2927B,4,18.93,Ethel Cain - Willoughby's Theme
71F75048E2797D48,3,18.2,Ethel Cain - Fuck Me Eyes
52B05386E36B863B,4,17.73,Doja Cat - Gorgeous
088EB0FF623BB11D,4,16.33,Conan Gray - Vodka Cranberry
394F17ADE9C58DCF,4,15.27,Miley Cyrus - Secrets (feat. Lindsey Buckingham & Mick Fleetwood)
3A09BB98721C1275,4,14.93,Doja Cat - Take Me Dancing (feat. SZA)
15DD179B43C75B6C,4,12.27,Alvaro Soler - Apágame
44D5CA40BEA8EF76,3,10.4,cupcakKe - CPR
B1FCA812A40F296B,3,9.65,Doja Cat - AAAHH MEN!
40550847E5A52B57,3,8.6,Arca - Brokeup
